,fiyat,il,ilce,mahalle,Net,OdaSayısı,BinanınYASI,BulunduguKAT,BinadakiKatSAYISI,IsıtmaTıpı,BanyoSAYISI
1007,"265,000",0,0,8,13,1,5,3,2,1,0
1008,"420,000",0,0,10,11,1,0,1,4,1,0
1009,"225,000",0,0,14,1,0,0,2,1,1,0
1010,"360,000",0,0,4,11,1,0,2,4,1,0
1011,"425,000",0,0,5,16,1,2,6,4,4,0
1012,"465,000",0,0,2,15,2,1,7,0,0,1
1013,"265,000",0,0,16,3,0,3,9,2,1,0
1014,"450,000",0,0,12,17,3,5,7,0,0,1
1015,"400,000",0,0,0,4,1,0,5,4,1,0
1016,"258,000",0,0,1,10,1,1,0,1,1,0
1017,"290,000",0,0,4,6,1,5,5,4,1,0
1018,"325,000",0,0,10,5,1,3,8,4,1,0
1019,"415,000",0,0,13,11,1,0,0,5,4,0
1020,"325,000",0,0,9,10,1,0,8,4,1,0
1021,"286,000",0,0,1,11,1,0,5,4,2,0
1022,"469,000",0,0,0,8,1,0,4,4,2,0
1023,"270,000",0,0,11,11,1,4,6,2,1,0
1024,"188,000",0,0,14,0,0,0,9,0,1,0
1025,"350,000",0,0,1,11,1,2,2,4,1,0
1026,"495,000",0,0,8,10,1,3,4,3,2,1
1027,"350,000",0,0,6,8,1,5,1,3,1,0
1028,"365,000",0,0,0,4,0,0,1,3,1,0
1029,"335,000",0,0,12,2,0,4,7,0,3,0
1030,"320,000",0,0,0,7,1,5,2,1,1,0
1031,"340,000",0,0,7,9,1,4,2,1,1,0
1032,"430,000",0,0,15,7,1,0,0,4,1,0
1033,"350,000",0,0,10,9,1,5,1,1,1,0
1034,"358,000",0,0,7,12,1,4,2,1,1,0
1035,"360,000",0,0,3,11,1,2,0,5,2,0
1036,"370,000",0,0,3,14,1,4,2,1,1,0
1037,"265,000",0,0,8,13,1,5,3,2,1,0
1038,"420,000",0,0,10,11,1,0,1,4,1,0
1039,"225,000",0,0,14,1,0,0,2,1,1,0
1040,"360,000",0,0,4,11,1,0,2,4,1,0
1041,"425,000",0,0,5,16,1,2,6,4,4,0
1042,"465,000",0,0,2,15,2,1,7,0,0,1
1043,"265,000",0,0,16,3,0,3,9,2,1,0
1044,"450,000",0,0,12,17,3,5,7,0,0,1
1045,"400,000",0,0,0,4,1,0,5,4,1,0
1046,"258,000",0,0,1,10,1,1,0,1,1,0
1047,"290,000",0,0,4,6,1,5,5,4,1,0
1048,"325,000",0,0,10,5,1,3,8,4,1,0
1049,"415,000",0,0,13,11,1,0,0,5,4,0
1050,"325,000",0,0,9,10,1,0,8,4,1,0
1051,"286,000",0,0,1,11,1,0,5,4,2,0
1052,"469,000",0,0,0,8,1,0,4,4,2,0
1053,"270,000",0,0,11,11,1,4,6,2,1,0
1054,"188,000",0,0,14,0,0,0,9,0,1,0
1055,"350,000",0,0,1,11,1,2,2,4,1,0
1056,"495,000",0,0,8,10,1,3,4,3,2,1
1057,"350,000",0,0,6,8,1,5,1,3,1,0
1058,"365,000",0,0,0,4,0,0,1,3,1,0
1059,"335,000",0,0,12,2,0,4,7,0,3,0
1060,"320,000",0,0,0,7,1,5,2,1,1,0
1061,"340,000",0,0,7,9,1,4,2,1,1,0
1062,"430,000",0,0,15,7,1,0,0,4,1,0
1063,"350,000",0,0,10,9,1,5,1,1,1,0
1064,"358,000",0,0,7,12,1,4,2,1,1,0
1065,"360,000",0,0,3,11,1,2,0,5,2,0
1066,"370,000",0,0,3,14,1,4,2,1,1,0
1067,"265,000",0,0,8,13,1,5,3,2,1,0
1068,"420,000",0,0,10,11,1,0,1,4,1,0
1069,"225,000",0,0,14,1,0,0,2,1,1,0
1070,"360,000",0,0,4,11,1,0,2,4,1,0
1071,"425,000",0,0,5,16,1,2,6,4,4,0
1072,"465,000",0,0,2,15,2,1,7,0,0,1
1073,"265,000",0,0,16,3,0,3,9,2,1,0
1074,"450,000",0,0,12,17,3,5,7,0,0,1
1075,"400,000",0,0,0,4,1,0,5,4,1,0
1076,"258,000",0,0,1,10,1,1,0,1,1,0
1077,"290,000",0,0,4,6,1,5,5,4,1,0
1078,"325,000",0,0,10,5,1,3,8,4,1,0
1079,"415,000",0,0,13,11,1,0,0,5,4,0
1080,"325,000",0,0,9,10,1,0,8,4,1,0
1081,"286,000",0,0,1,11,1,0,5,4,2,0
1082,"469,000",0,0,0,8,1,0,4,4,2,0
1083,"270,000",0,0,11,11,1,4,6,2,1,0
1084,"188,000",0,0,14,0,0,0,9,0,1,0
1085,"350,000",0,0,1,11,1,2,2,4,1,0
1086,"495,000",0,0,8,10,1,3,4,3,2,1
1087,"350,000",0,0,6,8,1,5,1,3,1,0
1088,"365,000",0,0,0,4,0,0,1,3,1,0
1089,"335,000",0,0,12,2,0,4,7,0,3,0
1090,"320,000",0,0,0,7,1,5,2,1,1,0
1091,"340,000",0,0,7,9,1,4,2,1,1,0
1092,"430,000",0,0,15,7,1,0,0,4,1,0
1093,"350,000",0,0,10,9,1,5,1,1,1,0
1094,"358,000",0,0,7,12,1,4,2,1,1,0
1095,"360,000",0,0,3,11,1,2,0,5,2,0
1096,"370,000",0,0,3,14,1,4,2,1,1,0
1097,"265,000",0,0,8,13,1,5,3,2,1,0
1098,"420,000",0,0,10,11,1,0,1,4,1,0
1099,"225,000",0,0,14,1,0,0,2,1,1,0
